"GEO";"GEO_OBJECT";"SEX";"AGE";"EP_MEASURE";"OBS_STATUS_FR";TIME_PERIOD;OBS_VALUE
"61";"DEP";"_T";"_T";"POP";"D";1999;292530
"76";"DEP";"_T";"_T";"POP";"D";1999;1239584
"56";"DEP";"_T";"_T";"POP";"D";1999;643293
"10";"DEP";"_T";"_T";"POP";"D";1999;292317
"70";"DEP";"_T";"_T";"POP";"D";1999;229728
"90";"DEP";"_T";"_T";"POP";"D";1999;137397
"95";"DEP";"_T";"_T";"POP";"D";1999;1104533
"80";"DEP";"_T";"_T";"POP";"D";1999;555547
"83";"DEP";"_T";"_T";"POP";"D";1999;897585
"86";"DEP";"_T";"_T";"POP";"D";1999;399002
"38";"DEP";"_T";"_T";"POP";"D";1999;1092778
"51";"DEP";"_T";"_T";"POP";"D";1999;565366
"07";"DEP";"_T";"_T";"POP";"D";1999;285889
"94";"DEP";"_T";"_T";"POP";"D";1999;1227030
"15";"DEP";"_T";"_T";"POP";"D";1999;150977
"69";"DEP";"_T";"_T";"POP";"D";1999;1577095
"37";"DEP";"_T";"_T";"POP";"D";1999;553690
"49";"DEP";"_T";"_T";"POP";"D";1999;732624
"28";"DEP";"_T";"_T";"POP";"D";1999;407707
"39";"DEP";"_T";"_T";"POP";"D";1999;250905
"09";"DEP";"_T";"_T";"POP";"D";1999;137201
"06";"DEP";"_T";"_T";"POP";"D";1999;1010644
"75";"DEP";"_T";"_T";"POP";"D";1999;2123686
"48";"DEP";"_T";"_T";"POP";"D";1999;73513
"32";"DEP";"_T";"_T";"POP";"D";1999;172484
"65";"DEP";"_T";"_T";"POP";"D";1999;222631
"79";"DEP";"_T";"_T";"POP";"D";1999;344486
"17";"DEP";"_T";"_T";"POP";"D";1999;556419
"30";"DEP";"_T";"_T";"POP";"D";1999;622509
"85";"DEP";"_T";"_T";"POP";"D";1999;539089
"41";"DEP";"_T";"_T";"POP";"D";1999;314995
"64";"DEP";"_T";"_T";"POP";"D";1999;599547
"43";"DEP";"_T";"_T";"POP";"D";1999;209086
"11";"DEP";"_T";"_T";"POP";"D";1999;309463
"14";"DEP";"_T";"_T";"POP";"D";1999;647951
"973";"DEP";"_T";"_T";"POP";"D";1999;155760
"18";"DEP";"_T";"_T";"POP";"D";1999;314603
"55";"DEP";"_T";"_T";"POP";"D";1999;192443
"46";"DEP";"_T";"_T";"POP";"D";1999;160230
"74";"DEP";"_T";"_T";"POP";"D";1999;630654
"44";"DEP";"_T";"_T";"POP";"D";1999;1133247
"974";"DEP";"_T";"_T";"POP";"D";1999;703820
"78";"DEP";"_T";"_T";"POP";"D";1999;1353945
"31";"DEP";"_T";"_T";"POP";"D";1999;1044208
"60";"DEP";"_T";"_T";"POP";"D";1999;766253
"94";"DEP";"_T";"_T";"POP";"D";2000;1236443
"54";"DEP";"_T";"_T";"POP";"D";2000;715684
"09";"DEP";"_T";"_T";"POP";"D";2000;138199
"62";"DEP";"_T";"_T";"POP";"D";2000;1443226
"23";"DEP";"_T";"_T";"POP";"D";2000;124303
"80";"DEP";"_T";"_T";"POP";"D";2000;556830
"44";"DEP";"_T";"_T";"POP";"D";2000;1146058
"72";"DEP";"_T";"_T";"POP";"D";2000;532765
"92";"DEP";"_T";"_T";"POP";"D";2000;1442087
"59";"DEP";"_T";"_T";"POP";"D";2000;2554638
"77";"DEP";"_T";"_T";"POP";"D";2000;1202569
"27";"DEP";"_T";"_T";"POP";"D";2000;544635
"32";"DEP";"_T";"_T";"POP";"D";2000;173522
"47";"DEP";"_T";"_T";"POP";"D";2000;307415
"38";"DEP";"_T";"_T";"POP";"D";2000;1102331
"18";"DEP";"_T";"_T";"POP";"D";2000;314584
"58";"DEP";"_T";"_T";"POP";"D";2000;225054
"2B";"DEP";"_T";"_T";"POP";"D";2000;143786
"71";"DEP";"_T";"_T";"POP";"D";2000;545723
"61";"DEP";"_T";"_T";"POP";"D";2000;292557
"12";"DEP";"_T";"_T";"POP";"D";2000;265065
"76";"DEP";"_T";"_T";"POP";"D";2000;1239940
"01";"DEP";"_T";"_T";"POP";"D";2000;521103
"73";"DEP";"_T";"_T";"POP";"D";2000;376516
"69";"DEP";"_T";"_T";"POP";"D";2000;1588910
"2A";"DEP";"_T";"_T";"POP";"D";2000;120753
"43";"DEP";"_T";"_T";"POP";"D";2000;210410
"24";"DEP";"_T";"_T";"POP";"D";2000;390272
"86";"DEP";"_T";"_T";"POP";"D";2000;401443
"95";"DEP";"_T";"_T";"POP";"D";2000;1111072
"65";"DEP";"_T";"_T";"POP";"D";2000;223299
"64";"DEP";"_T";"_T";"POP";"D";2000;604249
"33";"DEP";"_T";"_T";"POP";"D";2000;1299777
"45";"DEP";"_T";"_T";"POP";"D";2000;621230
"06";"DEP";"_T";"_T";"POP";"D";2000;1017956
"53";"DEP";"_T";"_T";"POP";"D";2000;286970
"91";"DEP";"_T";"_T";"POP";"D";2000;1142331
"03";"DEP";"_T";"_T";"POP";"D";2000;344710
"60";"DEP";"_T";"_T";"POP";"D";2000;769848
"74";"DEP";"_T";"_T";"POP";"D";2000;639184
"28";"DEP";"_T";"_T";"POP";"D";2000;409342
"81";"DEP";"_T";"_T";"POP";"D";2000;345859
"17";"DEP";"_T";"_T";"POP";"D";2000;561742
"50";"DEP";"_T";"_T";"POP";"D";2000;483178
"78";"DEP";"_T";"_T";"POP";"D";2000;1358816
"31";"DEP";"_T";"_T";"POP";"D";2000;1062514
"40";"DEP";"_T";"_T";"POP";"D";2000;331510
"89";"DEP";"_T";"_T";"POP";"D";2000;334026
"52";"DEP";"_T";"_T";"POP";"D";2000;194024
"08";"DEP";"_T";"_T";"POP";"D";2000;289609
"05";"DEP";"_T";"_T";"POP";"D";2000;122542
"30";"DEP";"_T";"_T";"POP";"D";2000;630051
"37";"DEP";"_T";"_T";"POP";"D";2000;557170
"84";"DEP";"_T";"_T";"POP";"D";2000;503783
"26";"DEP";"_T";"_T";"POP";"D";2000;441480
"10";"DEP";"_T";"_T";"POP";"D";2000;293185
"93";"DEP";"_T";"_T";"POP";"D";2000;1396942
"29";"DEP";"_T";"_T";"POP";"D";2000;855924
"41";"DEP";"_T";"_T";"POP";"D";2000;316354
"15";"DEP";"_T";"_T";"POP";"D";2000;150640
"13";"DEP";"_T";"_T";"POP";"D";2000;1846878
"973";"DEP";"_T";"_T";"POP";"D";2000;162018
"25";"DEP";"_T";"_T";"POP";"D";2000;501423
"22";"DEP";"_T";"_T";"POP";"D";2000;545656
"79";"DEP";"_T";"_T";"POP";"D";2000;346432
"70";"DEP";"_T";"_T";"POP";"D";2000;230380
"66";"DEP";"_T";"_T";"POP";"D";2000;397082
"82";"DEP";"_T";"_T";"POP";"D";2000;208421
"972";"DEP";"_T";"_T";"POP";"D";2000;383575
"39";"DEP";"_T";"_T";"POP";"D";2000;251811
"42";"DEP";"_T";"_T";"POP";"D";2000;730614
"35";"DEP";"_T";"_T";"POP";"D";2000;876201
