Titre,Date,ID,date_version
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_04-08-2021,2022-05-20
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_29-07-2019,2022-06-11
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_28-11-2023,2022-03-01
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_01-11-2021,2022-07-21
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_27-11-2021,2022-01-01
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_01-04-2023,2022-04-01
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_29-07-2023,2022-02-11
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_04-02-2023,2022-02-01
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_13-12-2005,2022-01-16
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_31-12-2005,2022-01-10
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_06-01-2006,2022-01-15
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_25-12-2021,2022-01-05
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_24-12-2021,2022-01-02
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_12-05-1998,2022-01-01
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_24-04-2005,2022-08-18
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_30-05-1997,2021-12-30
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_13-07-1997,2021-12-31
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_31-12-1997,2021-12-31
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_01-01-2005,2021-12-29
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_30-03-2005,2022-02-01
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_01-10-2004,2022-02-01
